('39.9836750089982_116.30434248561505_1237629000', ('038', 39.987826616666666, 116.31014966666669, 1237629430.0, 1237629440.0), ('036', 39.98441585714285, 116.30593219047618, 1237629001.0, 1237629191.0), 522.6077268333981)
('39.97467680863827_116.33355609512783_1234701600', ('023', 39.975161, 116.33378953846153, 1234701601.0, 1234701661.0), ('036', 39.97700433333333, 116.33922100000001, 1234701819.0, 1234701823.0), 506.3312193793777)
('39.97467680863827_116.33355609512783_1234701600', ('036', 39.97697223809523, 116.33899157142858, 1234702124.0, 1234702199.0), ('023', 39.974869500000004, 116.33373124999999, 1234701681.0, 1234701736.0), 505.7100484086481)
('39.97467680863827_116.33355609512783_1234701600', ('023', 39.9749387, 116.33388270000003, 1234701766.0, 1234701811.0), ('036', 39.97700433333333, 116.33922100000001, 1234701819.0, 1234701823.0), 509.7385244562531)
('39.97467680863827_116.33355609512783_1234701600', ('036', 39.97700433333333, 116.33922100000001, 1234701819.0, 1234701823.0), ('023', 39.974869500000004, 116.33373124999999, 1234701681.0, 1234701736.0), 524.7325961788623)
('39.97467680863827_116.3101852075176_1314727800', ('055', 39.978506666666654, 116.31063724637691, 1314727801.0, 1314727881.0), ('020', 39.974758888888886, 116.31407133333333, 1314728385.0, 1314728399.0), 509.3666160680439)
('39.97467680863827_116.3101852075176_1314727800', ('075', 39.978506666666654, 116.31063724637691, 1314727801.0, 1314727881.0), ('020', 39.974758888888886, 116.31407133333333, 1314728385.0, 1314728399.0), 509.3666160680439)
('39.961179508098375_116.3510842608355_1226589000', ('062', 39.96559383333334, 116.35250773333333, 1226589567.0, 1226589571.0), ('005', 39.96137813333334, 116.35503953333333, 1226589338.0, 1226589408.0), 516.2034796005852)
('39.979175908818235_116.30434248561505_1237630800', ('039', 39.98055044444444, 116.30892049206349, 1237630801.0, 1237631396.0), ('036', 39.983607, 116.304351, 1237630826.0, 1237630826.0), 516.9735005724299)
('40.253621019796036_116.29265704180993_1176628200', ('128', 40.2573777777778, 116.29455, 1176628235.0, 1176628265.0), ('111', 40.2537333333333, 116.2981, 1176628450.0, 1176628450.0), 505.1111486115384)
('39.97467680863827_116.33355609512783_1234700400', ('036', 39.97675811111111, 116.33905322222222, 1234700525.0, 1234700562.0), ('023', 39.97481033333334, 116.33363333333334, 1234700841.0, 1234700851.0), 510.25449584572925)
('25.037664211157765_121.55694947601349_1337042400', ('163', 25.033582611333333, 121.55696275233333, 1337042754.0, 1337042764.0), ('153', 25.035279052, 121.56275550550001, 1337042993.0, 1337042998.0), 613.5324843497591)
('25.037664211157765_121.55694947601349_1337042400', ('163', 25.035279052, 121.56275550550001, 1337042993.0, 1337042998.0), ('153', 25.033582611333333, 121.55696275233333, 1337042754.0, 1337042764.0), 613.5324843497591)
('25.262619220155965_110.2980243697868_1293168600', ('153', 25.262612, 110.292195, 1293168640.0, 1293168640.0), ('163', 25.261747538461538, 110.29797407692307, 1293168711.0, 1293168734.0), 589.2290991728944)
('25.262619220155965_110.2980243697868_1293168600', ('153', 25.261747538461538, 110.29797407692307, 1293168711.0, 1293168734.0), ('163', 25.262612, 110.292195, 1293168640.0, 1293168640.0), 589.2290991728944)
